纬度	经度	时速(Km/H)	时间戳
29.21752	119.45270	0.0	2016-02-10 08:55:38
29.21202	119.46275	47.4	2016-02-10 09:01:26
29.21536	119.46226	34.0	2016-02-10 09:07:11
29.23645	119.43887	38.8	2016-02-10 09:12:16
29.25664	119.44821	55.7	2016-02-10 09:17:16
29.27574	119.47098	28.8	2016-02-10 09:22:16
29.29724	119.48824	47.3	2016-02-10 09:27:17
29.30898	119.49432	56.2	2016-02-10 09:34:56
29.33723	119.49610	49.9	2016-02-10 09:39:56
29.35816	119.51389	11.7	2016-02-10 09:44:57
29.36621	119.51827	0.0	2016-02-10 09:54:58
29.36620	119.51825	0.0	2016-02-10 10:00:35
29.37395	119.51679	43.9	2016-02-10 10:05:47
29.40922	119.53585	50.6	2016-02-10 10:10:47
29.43679	119.51828	37.1	2016-02-10 10:15:48
29.43993	119.51481	0.0	2016-02-10 10:32:11
29.43979	119.51492	0.0	2016-02-10 10:37:40



http://www.google.cn/maps/dir/<gps坐标>/<gps坐标>/<gps坐标>

%09 标志TAB分割转义  / <gps坐标>
http://www.google.cn/maps/dir/29.21752%09119.45270/29.21202%09119.46275/29.21536%09119.46226/29.23645%09119.43887/29.25664%09119.44821/29.27574%09119.47098/29.29724%09119.48824/29.30898%09119.49432/29.33723%09119.49610/29.35816%09119.51389/29.36621%09119.51827/29.36620%09119.51825/29.37395%09119.51679/29.40922%09119.53585/29.43679%09119.51828/29.43993%09119.51481/29.43979%09119.51492/
